Note: Several counties contain special characters that can only be rendered correctly by following the steps below for opening the csv in Excel or Google Sheets.
Excel on Mac and Google Sheets : please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsupport.microsoft.com%2Fen-us%2Foffice%2Fimport-data-from-a-csv-html-or-text-file-b62efe49-4d5b-4429-b788-e1211b5e90f6%3Fui%3Den-us%26rs%3Den-us%26ad%3Dus&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=fbuH9B3RH8A5Ourun52x3TKT9ua%2B5DFN886z9ZgH4nw%3D&reserved=0
Excel on Mircosoft: please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fanswers.microsoft.com%2Fen-us%2Fmsoffice%2Fforum%2Fall%2Fhow-to-open-utf-8-csv-file-in-excel-without-mis%2F1eb15700-d235-441e-8b99-db10fafff3c2&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=sv24XsWqYIGnrQGkEiQCghebOTHFKFF2RU%2BuYFy0LE8%3D&reserved=0

county,state,"Rates of Persons Living with HIV, 2021"
"Autauga","Alabama",218
"Baldwin","Alabama",174
"Barbour","Alabama",514
"Bibb","Alabama",269
"Blount","Alabama",81
"Bullock","Alabama",616
"Butler","Alabama",377
"Calhoun","Alabama",255
"Chambers","Alabama",360
"Cherokee","Alabama",133
"Chilton","Alabama",169
"Choctaw","Alabama",279
"Clarke","Alabama",202
"Clay","Alabama",173
"Cleburne","Alabama",87
"Coffee","Alabama",180
"Colbert","Alabama",137
"Conecuh","Alabama",299
"Coosa","Alabama",205
"Covington","Alabama",164
"Crenshaw","Alabama",246
"Cullman","Alabama",109
"Dale","Alabama",334
"Dallas","Alabama",415
"DeKalb","Alabama",110
"Elmore","Alabama",280
"Escambia","Alabama",230
"Etowah","Alabama",222
"Fayette","Alabama",95
"Franklin","Alabama",87
"Geneva","Alabama",172
"Greene","Alabama",480
"Hale","Alabama",531
"Henry","Alabama",287
"Houston","Alabama",418
"Jackson","Alabama",102
"Jefferson","Alabama",679
"Lamar","Alabama",206
"Lauderdale","Alabama",123
"Lawrence","Alabama",89
"Lee","Alabama",219
"Limestone","Alabama",145
"Lowndes","Alabama",549
"Macon","Alabama",633
"Madison","Alabama",258
"Marengo","Alabama",194
"Marion","Alabama",156
"Marshall","Alabama",158
"Mobile","Alabama",563
"Monroe","Alabama",208
"Montgomery","Alabama",827
"Morgan","Alabama",149
"Perry","Alabama",419
"Pickens","Alabama",344
"Pike","Alabama",405
"Randolph","Alabama",102
"Russell","Alabama",420
"Shelby","Alabama",181
"St. Clair","Alabama",168
"Sumter","Alabama",355
"Talladega","Alabama",258
"Tallapoosa","Alabama",216
"Tuscaloosa","Alabama",294
"Walker","Alabama",153
"Washington","Alabama",116
"Wilcox","Alabama",240
"Winston","Alabama",59
"Aleutians East","Alaska",-4
"Aleutians West","Alaska",-4
"Anchorage","Alaska",-4
"Bethel","Alaska",-4
"Bristol Bay","Alaska",-4
"Chugach","Alaska",-4
"Copper River","Alaska",-4
"Denali","Alaska",-4
"Dillingham","Alaska",-4
"Fairbanks North Star","Alaska",-4
"Haines","Alaska",-4
"Hoonah-Angoon","Alaska",-4
"Juneau","Alaska",-4
"Kenai Peninsula","Alaska",-4
"Ketchikan Gateway","Alaska",-4
"Kodiak Island","Alaska",-4
"Kusilvak","Alaska",-4
"Lake and Peninsula","Alaska",-4
"Matanuska-Susitna","Alaska",-4
"Nome","Alaska",-4
"North Slope","Alaska",-4
"Northwest Arctic","Alaska",-4
"Petersburg","Alaska",-4
"Prince of Wales-Hyder","Alaska",-4
"Sitka","Alaska",-4
"Skagway","Alaska",-4
"Southeast Fairbanks","Alaska",-4
"Wrangell","Alaska",-4
"Yakutat","Alaska",-4
"Yukon-Koyukuk","Alaska",-4
"Apache","Arizona",231
"Cochise","Arizona",200
"Coconino","Arizona",143
"Gila","Arizona",121
"Graham","Arizona",97
"Greenlee","Arizona",-1
"La Paz","Arizona",-1
"Maricopa","Arizona",329
"Mohave","Arizona",153
"Navajo","Arizona",146
"Pima","Arizona",311
"Pinal","Arizona",293
"Santa Cruz","Arizona",191
"Yavapai","Arizona",147
"Yuma","Arizona",185
"Arkansas","Arkansas",280
"Ashley","Arkansas",146
"Baxter","Arkansas",122
"Benton","Arkansas",130
"Boone","Arkansas",88
"Bradley","Arkansas",105
"Calhoun","Arkansas",121
"Carroll","Arkansas",253
"Chicot","Arkansas",365
"Clark","Arkansas",142
"Clay","Arkansas",107
"Cleburne","Arkansas",110
"Cleveland","Arkansas",125
"Columbia","Arkansas",203
"Conway","Arkansas",160
"Craighead","Arkansas",201
"Crawford","Arkansas",107
"Crittenden","Arkansas",595
"Cross","Arkansas",252
"Dallas","Arkansas",-1
"Desha","Arkansas",230
"Drew","Arkansas",173
"Faulkner","Arkansas",194
"Franklin","Arkansas",62
"Fulton","Arkansas",106
"Garland","Arkansas",251
"Grant","Arkansas",156
"Greene","Arkansas",102
"Hempstead","Arkansas",199
"Hot Spring","Arkansas",262
"Howard","Arkansas",184
"Independence","Arkansas",175
"Izard","Arkansas",140
"Jackson","Arkansas",237
"Jefferson","Arkansas",519
"Johnson","Arkansas",70
"Lafayette","Arkansas",112
"Lawrence","Arkansas",95
"Lee","Arkansas",507
"Lincoln","Arkansas",336
"Little River","Arkansas",209
"Logan","Arkansas",78
"Lonoke","Arkansas",101
"Madison","Arkansas",134
"Marion","Arkansas",108
