"","GEO_ID","NAME","education","gini","med_income","poverty","county","state","hiv_rate","cluster","county_long"
"1","0500000US01001","Autauga County, Alabama",89.6,0.4499,62660,15.2,"Autauga","Alabama",218,2,"Autauga County"
"2","0500000US01003","Baldwin County, Alabama",91,0.4572,64346,9.2,"Baldwin","Alabama",174,2,"Baldwin County"
"3","0500000US01005","Barbour County, Alabama",75.7,0.5046,36422,28.6,"Barbour","Alabama",514,5,"Barbour County"
"4","0500000US01007","Bibb County, Alabama",80.5,0.4532,54277,18.1,"Bibb","Alabama",269,4,"Bibb County"
"5","0500000US01009","Blount County, Alabama",83.6,0.4562,52830,13.7,"Blount","Alabama",81,4,"Blount County"
"6","0500000US01011","Bullock County, Alabama",77.6,0.5159,29063,29.5,"Bullock","Alabama",616,5,"Bullock County"
"7","0500000US01013","Butler County, Alabama",85.6,0.4712,45236,19.6,"Butler","Alabama",377,4,"Butler County"
"8","0500000US01015","Calhoun County, Alabama",85.2,0.4567,50977,15.8,"Calhoun","Alabama",255,2,"Calhoun County"
"9","0500000US01017","Chambers County, Alabama",82.8,0.4146,47232,15.4,"Chambers","Alabama",360,4,"Chambers County"
"10","0500000US01019","Cherokee County, Alabama",79.8,0.4702,43475,12.9,"Cherokee","Alabama",133,4,"Cherokee County"
"11","0500000US01021","Chilton County, Alabama",81.8,0.4416,56243,17,"Chilton","Alabama",169,4,"Chilton County"
"12","0500000US01023","Choctaw County, Alabama",80.6,0.4775,38581,19.7,"Choctaw","Alabama",279,4,"Choctaw County"
"13","0500000US01025","Clarke County, Alabama",82.2,0.5146,44108,25,"Clarke","Alabama",202,4,"Clarke County"
"14","0500000US01027","Clay County, Alabama",83,0.4907,45163,15.5,"Clay","Alabama",173,4,"Clay County"
"15","0500000US01029","Cleburne County, Alabama",83.1,0.4887,48333,15.6,"Cleburne","Alabama",87,4,"Cleburne County"
"16","0500000US01031","Coffee County, Alabama",86.4,0.43,59034,15.4,"Coffee","Alabama",180,1,"Coffee County"
"17","0500000US01033","Colbert County, Alabama",86.8,0.437,52017,15.5,"Colbert","Alabama",137,2,"Colbert County"
"18","0500000US01035","Conecuh County, Alabama",87.6,0.4253,37986,16.6,"Conecuh","Alabama",299,4,"Conecuh County"
"19","0500000US01037","Coosa County, Alabama",85.1,0.4242,50013,12.5,"Coosa","Alabama",205,1,"Coosa County"
"20","0500000US01039","Covington County, Alabama",85.2,0.4809,46186,17.7,"Covington","Alabama",164,4,"Covington County"
"21","0500000US01041","Crenshaw County, Alabama",81.2,0.5312,43103,14.6,"Crenshaw","Alabama",246,4,"Crenshaw County"
"22","0500000US01043","Cullman County, Alabama",84.2,0.4314,52690,12.7,"Cullman","Alabama",109,1,"Cullman County"
"23","0500000US01045","Dale County, Alabama",84.8,0.4466,50052,18.4,"Dale","Alabama",334,4,"Dale County"
"24","0500000US01047","Dallas County, Alabama",85.9,0.4638,34957,29.2,"Dallas","Alabama",415,4,"Dallas County"
"25","0500000US01049","DeKalb County, Alabama",78.2,0.4769,44037,20.7,"DeKalb","Alabama",110,4,"DeKalb County"
"26","0500000US01051","Elmore County, Alabama",87.6,0.4229,67597,10.6,"Elmore","Alabama",280,1,"Elmore County"
"27","0500000US01053","Escambia County, Alabama",81.7,0.4648,38464,23.8,"Escambia","Alabama",230,4,"Escambia County"
"28","0500000US01055","Etowah County, Alabama",86.2,0.4549,46984,16,"Etowah","Alabama",222,2,"Etowah County"
"29","0500000US01057","Fayette County, Alabama",83,0.4661,43960,20.8,"Fayette","Alabama",95,4,"Fayette County"
"30","0500000US01059","Franklin County, Alabama",79.5,0.4307,43633,19.7,"Franklin","Alabama",87,4,"Franklin County"
"31","0500000US01061","Geneva County, Alabama",82.5,0.4399,43581,21.8,"Geneva","Alabama",172,4,"Geneva County"
"32","0500000US01063","Greene County, Alabama",84.4,0.4747,28826,36.4,"Greene","Alabama",480,5,"Greene County"
